Rec,Name,Team,Positions,Rank,ADP,PlayerInfo,PTS,Projections,Link,Last,Description,Status,Year
121,Hunter Greene,CIN,SP,121.0,106.0,Hunter Greene (CIN - SP),335,9-10-0SV|3.82|1.19|10.97K9,https://www.fantasypros.com/mlb/players/hunter-greene.php,Greene,"9-10-0SV|3.82|1.19|10.97K9
If you feel the need for pitching speed, Hunter Greene offers you all that and then some. Unfortunately, he also offers 3.4 BB/9 as he sometimes isn't sure where his 100-mph throws will end up. Down the stretch in 2022, he showed improvement with a 45:8 K:BB ratio in August and September. The 23-year-old is projected to have a K-rate north of 30%, and he will certainly boost a fantasy team's strikeout count. He pitches for a terrible team in an extremely hitter-friendly ballpark, so there will be growing pains, but if he harnesses his talent, he will be a steal at his current ADP.",,2023
122,David Bednar,PIT,RP,122.0,133.0,David Bednar (PIT - RP),270,3-3-25SV|3.38|1.19|11.25K9,https://www.fantasypros.com/mlb/players/david-bednar.php,Bednar,"3-3-25SV|3.38|1.19|11.25K9
David Bednar holds the illustrious title of Best Closer on Worst Team heading into 2023. The 28-year-old mixes a 96-mph fastball with a 77-mph curveball and 90-mph changeup for a 32.9 K%. Even though he had an ERA of 2.61, his FIP was 2.44, which is a product of pitching in front of one of the worst defenses in baseball. Pittsburgh may not win many games, but Bednar is clearly the closer and should be dominant in any uniform.",,2023
123,Amed Rosario,CLE,SS,123.0,141.0,Amed Rosario (CLE - SS),319,.278|79R|12HR|66RBI|17SB,https://www.fantasypros.com/mlb/players/amed-rosario.php,Rosario,".278|79R|12HR|66RBI|17SB
Amed Rosario's numbers in 2022 looked quite similar to the ones from 2021. He hit 11 homers, stole 18 bases, and slashed .283/.312/.403 in 153 games. He still has a microscopic walk rate, but he also took four points off his K%. A lot of his fantasy worth is tied up in whether or not he continues to bat at the top of the lineup. It's worth watching in Spring Training, and if he routinely bats behind Jose Ramirez, drop him in your rankings a bit as the counting stats will be affected. However, he can be a mid-round source of stolen bases either way.",,2023
124,Alejandro Kirk,TOR,"C,DH",124.0,102.0,"Alejandro Kirk (TOR - C,DH)",300,.279|57R|15HR|62RBI|1SB,https://www.fantasypros.com/mlb/players/alejandro-kirk.php,Kirk,".279|57R|15HR|62RBI|1SB
Alejandro Kirk played in 139 games, getting 541 plate appearances and showing improvement in almost every area. The 24-year-old slashed .285/.372/.415 and added 14 home runs. His Statcast page is filled with red in every area except barrel% and sprint speed. The Blue Jays heeded his offensive prowess by using him as DH on many days when he wasn't behind the plate. Toronto also helped sort out its overload of catchers by traded heralded prospect Gabriel Moreno to Arizona for Daulton Varsho. While Varsho has catcher eligibility, he will most likely play outfield or DH rather than take at-bats away from Kirk. Feel free to wait on catcher and snag Kirk in the eighth or ninth round. He'll make it worth your patience.",,2023
125,Lance Lynn,CWS,SP,125.0,129.0,Lance Lynn (CWS - SP),314,10-9-0SV|3.92|1.21|8.79K9,https://www.fantasypros.com/mlb/players/lance-lynn.php,Lynn,"10-9-0SV|3.92|1.21|8.79K9
Lance Lynn suffered a knee injury late in Spring Training that cost him two months of the season. When he returned, it looked like all of the skills that made him so highly sought after had disappeared. He had an unsightly 6.42 ERA heading into August and was getting clobbered by hitters. From August til the end of the season, however, he carried a 2.43 ERA and returned to his low-walk, low-HR self. Lynn is a prime candidate to climb draft boards if he shows out during Spring Training given his history as a workhorse.",,2023
126,Clay Holmes,NYY,RP,126.0,121.0,Clay Holmes (NYY - RP),260,4-3-24SV|3.47|1.20|9.33K9,https://www.fantasypros.com/mlb/players/clay-holmes.php,Holmes,"4-3-24SV|3.47|1.20|9.33K9
Clay Holmes had two seasons in 2022. Before the All-Star Break, he had 16 saves, seven holds, an ERA of 1.34, and a 41:8 K:BB ratio. After the ASB, he hit the IL with a back strain and had four saves, an ERA of 4.44, and a 25:13 K:BB ratio. With the Yankees letting Chapman go to the Royals, Holmes currently stands alone on the closer depth chart. If you buy into his first half from 2022, he is a steal at his current ADP. If you don't, it is wise to stay clear.",,2023
127,Seiya Suzuki,CHC,OF,127.0,132.0,Seiya Suzuki (CHC - OF),285,.263|67R|19HR|63RBI|11SB,https://www.fantasypros.com/mlb/players/seiya-suzuki.php,Suzuki,".263|67R|19HR|63RBI|11SB
Seiya Suzuki arrived to MLB and kicked off his career in the States with a bang, hitting four HR and getting on base at a .398 clip. A finger injury derailed his season, but he finished the year strong. Suzuki struggled to adjust to the different levels of pitching, but he is a prime candidate for a bounceback season. His sophomore campaign should be a boon to fantasy teams, and he will come at a discount.",,2023
128,Max Muncy,LAD,"2B,3B,DH",128.0,128.0,"Max Muncy (LAD - 2B,3B,DH)",317,.228|77R|26HR|78RBI|2SB,https://www.fantasypros.com/mlb/players/max-muncy.php,Muncy,".228|77R|26HR|78RBI|2SB
",,2023
129,Ryan Mountcastle,BAL,"1B,DH",129.0,164.0,"Ryan Mountcastle (BAL - 1B,DH)",300,.260|70R|25HR|85RBI|4SB,https://www.fantasypros.com/mlb/players/ryan-mountcastle.php,Mountcastle,".260|70R|25HR|85RBI|4SB
Ryan Mountcastle is an underrated power hitter who fell prey to a narrative that isn't exactly true. Yes, they moved the fences back at Camden Yards, but he actually improved his EV and added length to his average fly ball distance. The 13.3% HR/FB ratio should correct, and if he maintains an improved K% and HardHit%, he will be an absolute steal at his current ADP.",,2023
130,Nick Lodolo,CIN,SP,130.0,127.0,Nick Lodolo (CIN - SP),314,8-9-0SV|3.79|1.25|10.53K9,https://www.fantasypros.com/mlb/players/nick-lodolo.php,Lodolo,"8-9-0SV|3.79|1.25|10.53K9
Nick Lodolo arrived on the scene and shortly thereafter hit the IL with a back injury. When he returned, he dazzled fantasy managers with his 11.41 K/9 and 3.49 xFIP. Yes, the Reds are going to be absolutely terrible, so there probably won't be many wins. But Lodolo is a strikeout machine (131 in 103 innings) and has the stuff to improve on his rookie numbers with a full season. Go get him.",,2023
131,Freddy Peralta,MIL,SP,131.0,139.0,Freddy Peralta (MIL - SP),281,8-6-0SV|3.62|1.15|9.97K9,https://www.fantasypros.com/mlb/players/freddy-peralta.php,Peralta,"8-6-0SV|3.62|1.15|9.97K9
Injuries limited Freddy Peralta to only 78 innings in 2022, but he put up elite numbers when he did take the mound. He allows weak contact and his xERA sits in the 90th percentile. The only question for fantasy managers is whether or not you believe he can stay healthy. If you think he'll cross the century mark in innings pitched, he's a steal at his current ADP.",,2023
132,Tyler Glasnow,TB,SP,132.0,123.0,Tyler Glasnow (TB - SP),289,7-4-0SV|3.29|1.09|11.28K9,https://www.fantasypros.com/mlb/players/tyler-glasnow.php,Glasnow,"7-4-0SV|3.29|1.09|11.28K9
Tyler Glasnow was having an outstanding season in 2021 before requiring Tommy John surgery. He somehow made it back before the end of the 2022 season, starting two games and looking like the Glasnow of old. The 29-year-old's Steamer projections show a 2.96 xFIP and a K/9 north of 11, and his current ADP is 92. He is a risky SP2 and would be a much safer pick as a third or fourth starter. However, if he stays healthy, he has all the makings of an SP1.",,2023
133,Joe Ryan,MIN,SP,133.0,143.0,Joe Ryan (MIN - SP),334,11-9-0SV|3.75|1.14|9.16K9,https://www.fantasypros.com/mlb/players/joe-ryan.php,Ryan,"11-9-0SV|3.75|1.14|9.16K9
Joe Ryan emerged as a solid No. 2 starter in Minnesota in 2022, striking out 151 batters in 147 innings, going 13-8 with a 3.55 ERA and 1.10 WHIP. His xERA was 3.57 but his xFIP was 4.35. He gives up more HR than fantasy managers would like (1.22 HR/9 last year), but he balances that with a 9.24 K/9 and 2.88 BB/9. The 26-year-old definitely has a place on fantasy rosters and can probably be picked up somewhere in the 13th round.",,2023
134,Andrew Vaughn,CWS,"1B,DH,OF",134.0,134.0,"Andrew Vaughn (CWS - 1B,DH,OF)",313,.265|67R|21HR|74RBI|1SB,https://www.fantasypros.com/mlb/players/andrew-vaughn-1b.php,Vaughn,".265|67R|21HR|74RBI|1SB
The biggest plus Andrew Vaughn has going this season is that Tony La Russa won't be there to block his playing time. He should also get to move back to the infield and play 1B now that Jose Abreu is in Houston. Vaughn has underestimated power and maintains a good batting average. With everyday playing time, 2023 could be a big year of growth for the 24-year-old.",,2023
135,Lucas Giolito,CWS,SP,135.0,136.0,Lucas Giolito (CWS - SP),342,11-9-0SV|3.88|1.23|9.53K9,https://www.fantasypros.com/mlb/players/lucas-giolito.php,Giolito,"11-9-0SV|3.88|1.23|9.53K9
If you drafted Lucas Giolito in 2022, chances are good you spent a great deal of time debating whether or not to drop him, trade him, or hold. The good news is that he wasn't as bad as his surface numbers. He had an ERA of 4.90 but an xFIP of 3.66. The other news is that his fastball velocity and K% decreased while his BB% increased. Giolito is only 28 years old, and his ADP puts him somewhere around the 13th round. He should be better in 2023, but no promises he will return to his 2019-2021 form.",,2023
136,Matt Chapman,TOR,3B,136.0,144.0,Matt Chapman (TOR - 3B),287,.226|78R|28HR|79RBI|3SB,https://www.fantasypros.com/mlb/players/matt-chapman.php,Chapman,".226|78R|28HR|79RBI|3SB
Matt Chapman shaved five points off his K% in his move to Toronto from Oakland. However, fantasy managers still need to prepare for a lot of strikeouts and a low batting average, as neither will ever be a boost. That's the bad. The good is that he hits the cover off the ball when he does make contact, sitting in the 97th percentile of HardHit%. His glove will keep him in a strong Blue Jays lineup, and his OBP may rise as his wOBA was 38 points higher without the shift. If you miss the first half dozen third basemen, Chapman can provide some value at his current ADP.",,2023
137,Rowdy Tellez,MIL,1B,137.0,156.0,Rowdy Tellez (MIL - 1B),322,.245|65R|28HR|79RBI|2SB,https://www.fantasypros.com/mlb/players/rowdy-tellez.php,Tellez,".245|65R|28HR|79RBI|2SB
",,2023
138,Anthony Rizzo,NYY,1B,138.0,131.0,Anthony Rizzo (NYY - 1B),331,.244|73R|25HR|73RBI|7SB,https://www.fantasypros.com/mlb/players/anthony-rizzo.php,Rizzo,".244|73R|25HR|73RBI|7SB
",,2023
139,Charlie Morton,ATL,SP,139.0,153.0,Charlie Morton (ATL - SP),340,10-7-0SV|3.75|1.22|10.01K9,https://www.fantasypros.com/mlb/players/charlie-morton.php,Morton,"10-7-0SV|3.75|1.22|10.01K9
While Father Time will claim all athletes at some point, the 39-year-old Morton seems to have an agreement in place to avoid being claimed yet. He started 31 games, pitched 172 innings, and struck out 205 batters last season, which makes that one of the quietest 200-strikeout seasons in memory. He continues to have an elite curve ball to match his 95-mph fastball and plays for the high-scoring Atlanta Braves. He is a safe pick in the late rounds of drafts.",,2023
140,Jorge Polanco,MIN,2B,140.0,140.0,Jorge Polanco (MIN - 2B),312,.253|72R|21HR|70RBI|8SB,https://www.fantasypros.com/mlb/players/jorge-polanco.php,Polanco,".253|72R|21HR|70RBI|8SB
Jorge Polanco had an injury-plagued 2022 which undermined the fact that his stats when healthy were on par with his 2021 season. While he may not hit 30 bombs again, he is a middle infielder who will protect your slash line and should land in the 25/75/75 range in counting stats. With an ADP in the 150s, there is no reason to shy away from him in 2023.",,2023
141,Ian Happ,CHC,OF,141.0,162.0,Ian Happ (CHC - OF),301,.250|73R|21HR|72RBI|10SB,https://www.fantasypros.com/mlb/players/ian-happ.php,Happ,".250|73R|21HR|72RBI|10SB
It will be very important to keep track of where Happ is batting in the revamped Cubs lineup. He batted third or fourth for most of 2022, but his skillset reads like a No. 2. With many new faces around him, there is a chance he could drop down, which would harm his value. He falls into the ""walk year"" category, so he might outperform his projections. However, his .336 BABIP is unsustainable and will take a bite out of his batting average when it corrects. He is an OF5 being drafted in the OF4 range because of the cliff the position drops off of in drafts.",,2023
142,Hunter Renfroe,LAA,OF,142.0,138.0,Hunter Renfroe (LAA - OF),292,.244|68R|28HR|77RBI|2SB,https://www.fantasypros.com/mlb/players/hunter-renfroe.php,Renfroe,".244|68R|28HR|77RBI|2SB
",,2023
143,Chris Sale,BOS,SP,143.0,146.0,Chris Sale (BOS - SP),264,8-7-0SV|3.75|1.22|10.50K9,https://www.fantasypros.com/mlb/players/chris-sale.php,Sale,"8-7-0SV|3.75|1.22|10.50K9
Chris Sale seemed like the most snake-bitten player in baseball last season. He began the year on the 60-day IL with a stress fracture in his ribs. He made his way back in July and pitched 5 2/3 innings before a line drive fractured his pinky finger. While waiting for him to possibly return, he fell off a bike and fractured his wrist, which had to be surgically repaired in the offseason. Behind all of this is the hope that he can return to his 2019 form, which is the last time he made more than 10 starts in a season. The draft discount would have to be huge to take a flier on him, and chances are good that one of your much more hopeful league mates will take him before he reaches that point.",,2023
144,Sean Murphy,ATL,"C,DH",144.0,126.0,"Sean Murphy (ATL - C,DH)",275,.248|65R|20HR|70RBI|1SB,https://www.fantasypros.com/mlb/players/sean-murphy.php,Murphy,".248|65R|20HR|70RBI|1SB
",,2023
145,Jhoan Duran,MIN,RP,145.0,148.0,Jhoan Duran (MIN - RP),253,3-3-12SV|2.89|1.08|11.67K9,https://www.fantasypros.com/mlb/players/jhoan-duran.php,Duran,"3-3-12SV|2.89|1.08|11.67K9
If you ask a fantasy analyst who the Twins' closer will be this season, the most common answer will be, ""Well, we know who it SHOULD be."" Jhoan Duran falls into the category of ""too good to be a closer."" By that, we mean that chances are good that Minnesota will use him in high-leverage situations, no matter which late inning that might be. With a K% in the 96th percentile, the 25-year-old will be one of the Top 3 RP without a clear path to saves taken off the board. He's going about 80 spots before Jorge Lopez, the actual closer, and handcuffing them isn't the worst idea.",,2023
146,Brandon Lowe,TB,2B,146.0,145.0,Brandon Lowe (TB - 2B),284,.241|70R|24HR|74RBI|5SB,https://www.fantasypros.com/mlb/players/brandon-lowe.php,Lowe,".241|70R|24HR|74RBI|5SB
",,2023
147,Pablo Lopez,MIN,SP,147.0,159.0,Pablo Lopez (MIN - SP),338,10-9-0SV|3.57|1.18|8.84K9,https://www.fantasypros.com/mlb/players/pablo-lopez.php,Lopez,"10-9-0SV|3.57|1.18|8.84K9
Pablo Lopez started 32 games for the hapless Marlins in 2022 and threw 180 innings with 174 strikeouts, a 3.75 ERA, and a 1.17 WHIP. He had been the target of many trade rumors at the deadline but stayed put. Instead, he was swapped to the Twins in January, which should result in more wins with a better lineup, though Target Field will play smaller than loanDepot Park in Miami. He is an appealing SP4 for fantasy staffs.",,2023
148,Chris Bassitt,TOR,SP,148.0,135.0,Chris Bassitt (TOR - SP),342,13-9-0SV|3.68|1.19|8.04K9,https://www.fantasypros.com/mlb/players/chris-bassitt.php,Bassitt,"13-9-0SV|3.68|1.19|8.04K9
Chris Bassitt is the exact type of high floor/low ceiling starting pitcher that you draft to your roster in a later round and then don't worry about. He isn't going to do anything flashy (8.27 K/9), but he shouldn't do much to harm your numbers. After starting 27 games in 2021 and 30 in 2022, Bassitt can be counted on for 175 solid innings and somewhere in the 3.70/1.18 ERA/WHIP.",,2023
149,Brandon Nimmo,NYM,OF,149.0,155.0,Brandon Nimmo (NYM - OF),339,.272|89R|15HR|59RBI|6SB,https://www.fantasypros.com/mlb/players/brandon-nimmo.php,Nimmo,".272|89R|15HR|59RBI|6SB
",,2023
150,Nico Hoerner,CHC,SS,150.0,181.0,Nico Hoerner (CHC - SS),317,.279|68R|9HR|57RBI|21SB,https://www.fantasypros.com/mlb/players/nico-hoerner.php,Hoerner,".279|68R|9HR|57RBI|21SB
Nico Hoerner should be the Cubs' everyday second baseman, and he should bat near the top of the lineup. He hit 10 HR and stole 20 bases while slashing .281/.327/.410 in 2022, even though he appeared in only 135 games. He is an intriguing later-round option who could nicely fill a MI slot and provide some speed/average help.",,2023
151,MJ Melendez,KC,"C,DH,OF",151.0,109.0,"MJ Melendez (KC - C,DH,OF)",273,.237|66R|21HR|67RBI|4SB,https://www.fantasypros.com/mlb/players/mj-melendez-c-c.php,Melendez,".237|66R|21HR|67RBI|4SB
M.J. Melendez debuted and appeared in 129 games in 2022, showing off his patience and power to the tune of 18 HR and a 12.4% BB rate. He batted leadoff 64 times, indicating the Royals are dedicated to getting him plate appearances in front of Bobby Witt Jr. and Salvador Perez. Melendez is not a good defensive catcher, but he should play enough to retain eligibility there. Unless you're in a quirky league where defense counts, Melendez fills a scarce position with decent skills.",,2023
152,Jesus Luzardo,MIA,SP,152.0,152.0,Jesus Luzardo (MIA - SP),268,8-9-0SV|3.99|1.28|9.67K9,https://www.fantasypros.com/mlb/players/jesus-luzardo.php,Luzardo,"8-9-0SV|3.99|1.28|9.67K9
",,2023
153,Andres Munoz,SEA,RP,153.0,169.0,Andres Munoz (SEA - RP),254,3-3-9SV|2.65|0.99|12.53K9,https://www.fantasypros.com/mlb/players/andres-munoz-p.php,Munoz,"3-3-9SV|2.65|0.99|12.53K9
Andres Munoz is in the Top 3 relievers being drafted without a closer role due to his sheer dominance. His Statcast page is a thing of beauty, and his K% projection is around 37. The 24-year-old nabbed 14 saves last season, and he is listed as part of the three-headed Mariners committee with Paul Sewald and Diego Castillo. In a SV+HD league, Munoz would be considered a stud, and he still has plenty of value in 5x5s.",,2023
154,Josh Bell,CLE,"1B,DH",154.0,172.0,"Josh Bell (CLE - 1B,DH)",340,.263|72R|20HR|77RBI|1SB,https://www.fantasypros.com/mlb/players/josh-bell.php,Bell,".263|72R|20HR|77RBI|1SB
",,2023
155,Jeffrey Springs,TB,"RP,SP",155.0,154.0,"Jeffrey Springs (TB - RP,SP)",302,9-7-0SV|3.49|1.17|9.22K9,https://www.fantasypros.com/mlb/players/jeffrey-springs.php,Springs,"9-7-0SV|3.49|1.17|9.22K9
",,2023
156,William Contreras,MIL,"C,DH",156.0,130.0,"William Contreras (MIL - C,DH)",218,.250|55R|19HR|59RBI|2SB,https://www.fantasypros.com/mlb/players/william-contreras.php,Contreras,".250|55R|19HR|59RBI|2SB
",,2023
157,Ty France,SEA,1B,157.0,166.0,Ty France (SEA - 1B),328,.275|73R|19HR|76RBI|0SB,https://www.fantasypros.com/mlb/players/tyler-france.php,France,".275|73R|19HR|76RBI|0SB
Assuming Ty France no longer qualifies at 2B, the complexion of his fantasy value changes. However, he does qualify at 3B, which might be even shallower this season. The 28-year-old is this year's definition of ""boring"" - he's projected for 20 HR, 70/70 for runs/RBI, and a solid batting average. There is nothing wrong with boring, as long as you don't reach for it.",,2023
158,Jonathan India,CIN,2B,158.0,177.0,Jonathan India (CIN - 2B),281,.252|77R|16HR|61RBI|9SB,https://www.fantasypros.com/mlb/players/jonathan-india.php,India,".252|77R|16HR|61RBI|9SB
",,2023
159,Jeff McNeil,NYM,"2B,OF",159.0,170.0,"Jeff McNeil (NYM - 2B,OF)",328,.291|68R|10HR|64RBI|4SB,https://www.fantasypros.com/mlb/players/jeff-mcneil.php,McNeil,".291|68R|10HR|64RBI|4SB
",,2023
160,Dustin May,LAD,SP,160.0,149.0,Dustin May (LAD - SP),247,8-6-0SV|3.69|1.19|9.20K9,https://www.fantasypros.com/mlb/players/dustin-may.php,May,"8-6-0SV|3.69|1.19|9.20K9
Dustin May had a long road to his return from Tommy John surgery, and the rustiness was apparent when he took the mound for the first time on August 20. He has elite curveball and fastball spin rates, but he was a bit wild with the breaking pitches, which is pretty typical for pitchers coming back. Still just 25, May has a high upside for 2023, which would make him a steal at his current ADP. However, beware the innings limit that is sure to come.",,2023
161,Alexis Diaz,CIN,RP,161.0,147.0,Alexis Diaz (CIN - RP),267,4-3-21SV|3.63|1.18|11.64K9,https://www.fantasypros.com/mlb/players/alexis-diaz.php,Diaz,"4-3-21SV|3.63|1.18|11.64K9
Alexis Diaz is already named the official closer for the Reds, which isn't a testament to his RP prowess, considering Cinci is going nowhere fast. His Statcast page jumps at you with his strikeout ability and limiting hard contact. However, his BB% also stands out for being in the 2nd percentile. Don't get blinded by his 1.84 ERA from last year, either. His xFIP was 3.97, and he hands out free passes like a new business in a strip mall. Make sure your ratios are protected before drafting him for saves.",,2023
162,Jordan Montgomery,STL,SP,162.0,168.0,Jordan Montgomery (STL - SP),330,10-7-0SV|3.58|1.20|8.13K9,https://www.fantasypros.com/mlb/players/jordan-montgomery.php,Montgomery,"10-7-0SV|3.58|1.20|8.13K9
When the Yankees traded Jordan Montgomery to St. Louis for an injured Harrison Bader at the deadline, it seemed like somewhat of a baffling move, especially as he tore up the NL Central upon arrival. Montgomery is never going to strike out a ton of batters, but he maintains good ratios and has started 30+ games in the last two years. Once you have good fireballers on your roster, Montgomery can fill in and hopefully garner a couple of wins with a great Cardinals offense and top-5 defense supporting him.",,2023
163,Bryce Harper,PHI,DH,163.0,142.0,Bryce Harper (PHI - DH),243,.284|51R|17HR|50RBI|8SB,https://www.fantasypros.com/mlb/players/bryce-harper.php,Harper,".284|51R|17HR|50RBI|8SB
Where do you draft the superstar who will only play half the season at most? If you have the IL spots, his current ADP of around 130 makes sense. Even with his torn UCL last season, he still slashed .286/.364/.514 and powered the Phillies to the World Series. The biggest downside is that he most likely does not have OF eligibility in your league, so make sure your UTIL slot is free for him.",,2023
164,Eugenio Suarez,SEA,3B,164.0,137.0,Eugenio Suarez (SEA - 3B),250,.216|68R|28HR|77RBI|1SB,https://www.fantasypros.com/mlb/players/eugenio-suarez.php,Suarez,".216|68R|28HR|77RBI|1SB
",,2023
165,Tyler Stephenson,CIN,C,165.0,160.0,Tyler Stephenson (CIN - C),242,.265|59R|14HR|64RBI|2SB,https://www.fantasypros.com/mlb/players/tyler-stephenson.php,Stephenson,".265|59R|14HR|64RBI|2SB
",,2023
166,Pete Fairbanks,TB,RP,166.0,174.0,Pete Fairbanks (TB - RP),243,3-3-17SV|3.06|1.14|11.87K9,https://www.fantasypros.com/mlb/players/pete-fairbanks.php,Fairbanks,"3-3-17SV|3.06|1.14|11.87K9
",,2023
167,Jose Miranda,MIN,"1B,3B,DH",167.0,161.0,"Jose Miranda (MIN - 1B,3B,DH)",293,.267|62R|17HR|71RBI|2SB,https://www.fantasypros.com/mlb/players/jose-miranda.php,Miranda,".267|62R|17HR|71RBI|2SB
Jose Miranda should finally take his rightful spot as the Twins' everyday third baseman - not because he's a great defensive third baseman (he's not) but because they need his bat in the lineup. In his rookie season, he hit 15 HR and 66 RBI with a .751 OPS and had above-average slugging numbers and K%. Miranda is right on the edge of being a sleeper if he's able to build on last year, but he also runs the risk of some growing pains in his sophomore season.",,2023
168,Javier Baez,DET,SS,168.0,186.0,Javier Baez (DET - SS),267,.246|73R|22HR|75RBI|14SB,https://www.fantasypros.com/mlb/players/javier-baez.php,Baez,".246|73R|22HR|75RBI|14SB
",,2023
169,Mitch Haniger,SF,OF,169.0,163.0,Mitch Haniger (SF - OF),259,.248|68R|22HR|69RBI|1SB,https://www.fantasypros.com/mlb/players/mitch-haniger.php,Haniger,".248|68R|22HR|69RBI|1SB
",,2023
170,Daniel Bard,COL,RP,170.0,151.0,Daniel Bard (COL - RP),252,4-4-26SV|4.10|1.37|10.36K9,https://www.fantasypros.com/mlb/players/daniel-bard.php,Bard,"4-4-26SV|4.10|1.37|10.36K9
Daniel Bard saved 34 saves for the hapless Colorado Rockies last year, and they rewarded him with a two-year extension. Fantasy managers should trust that he will get first crack at saving games, but they should also be aware that the 37-year-old benefited from a career-low .221 BABIP. While this is due to correct, it shouldn't scare you off from making him a top reliever on your squad.",,2023
171,Jake Cronenworth,SD,"1B,2B",171.0,158.0,"Jake Cronenworth (SD - 1B,2B)",345,.255|80R|17HR|75RBI|5SB,https://www.fantasypros.com/mlb/players/jacob-cronenworth.php,Cronenworth,".255|80R|17HR|75RBI|5SB
",,2023
172,Paul Sewald,SEA,RP,172.0,176.0,Paul Sewald (SEA - RP),258,4-3-19SV|3.55|1.07|11.05K9,https://www.fantasypros.com/mlb/players/paul-sewald.php,Sewald,"4-3-19SV|3.55|1.07|11.05K9
",,2023
173,Ketel Marte,ARI,"2B,DH",173.0,193.0,"Ketel Marte (ARI - 2B,DH)",333,.272|74R|16HR|65RBI|5SB,https://www.fantasypros.com/mlb/players/ketel-marte.php,Marte,".272|74R|16HR|65RBI|5SB
",,2023
174,Alec Bohm,PHI,3B,174.0,175.0,Alec Bohm (PHI - 3B),288,.273|69R|14HR|69RBI|4SB,https://www.fantasypros.com/mlb/players/alec-bohm.php,Bohm,".273|69R|14HR|69RBI|4SB
",,2023
175,Alex Verdugo,BOS,OF,175.0,187.0,Alex Verdugo (BOS - OF),339,.286|74R|13HR|67RBI|5SB,https://www.fantasypros.com/mlb/players/alex-verdugo.php,Verdugo,".286|74R|13HR|67RBI|5SB
",,2023
176,Scott Barlow,KC,RP,176.0,150.0,Scott Barlow (KC - RP),267,4-3-21SV|3.47|1.21|9.93K9,https://www.fantasypros.com/mlb/players/scott-barlow.php,Barlow,"4-3-21SV|3.47|1.21|9.93K9
Scott Barlow held a lot more fantasy appeal before the Royals went out and signed Aroldis Chapman. Barlow will still get his fair share of save opportunities, but this smells like a closer by committee to start the season.",,2023
177,Ke'Bryan Hayes,PIT,3B,177.0,185.0,Ke'Bryan Hayes (PIT - 3B),267,.257|66R|10HR|54RBI|19SB,https://www.fantasypros.com/mlb/players/kebryan-hayes.php,Hayes,".257|66R|10HR|54RBI|19SB
Ke'Bryan Hayes might have some good power hiding inside his offensive toolbox, but if you draft him for steals and batting average help, you'll feel much better about him in your lineup. He is an injury risk after playing in 136 last year and only 96 the year before. We have no illusions that Pittsburgh's lineup is going to boost any of his numbers, but 20 steals from 3B later in the draft is nothing to sneeze at.",,2023
178,Brady Singer,KC,SP,178.0,178.0,Brady Singer (KC - SP),324,10-10-0SV|3.80|1.26|8.44K9,https://www.fantasypros.com/mlb/players/brady-singer.php,Singer,"10-10-0SV|3.80|1.26|8.44K9
Brady Singer is a 26-year-old unfinished product who flashed some excellent skills in 2022. He started 24 games and threw 153 1/3 innings while maintaining a 3.23 ERA (3.30 xFIP) and 1.14 WHIP. His Statcast leaves a lot to be desired, though he is in the 82nd percentile in BB%. He's another pitcher who will be a nice SP4 or SP5 to add later in drafts to help balance your ratios.",,2023
179,Luis Arraez,MIA,"1B,2B,DH",179.0,196.0,"Luis Arraez (MIA - 1B,2B,DH)",353,.305|76R|7HR|56RBI|5SB,https://www.fantasypros.com/mlb/players/luis-arraez.php,Arraez,".305|76R|7HR|56RBI|5SB
",,2023
180,Thairo Estrada,SF,"2B,SS",180.0,180.0,"Thairo Estrada (SF - 2B,SS)",294,.264|71R|15HR|62RBI|18SB,https://www.fantasypros.com/mlb/players/thairo-estrada.php,Estrada,".264|71R|15HR|62RBI|18SB
",,2023
181,J.D. Martinez,LAD,DH,181.0,189.0,J.D. Martinez (LAD - DH),279,.260|68R|20HR|73RBI|0SB,https://www.fantasypros.com/mlb/players/jd-martinez.php,Martinez,".260|68R|20HR|73RBI|0SB
",,2023
182,Drew Rasmussen,TB,SP,182.0,167.0,Drew Rasmussen (TB - SP),316,10-8-0SV|3.44|1.15|7.93K9,https://www.fantasypros.com/mlb/players/drew-rasmussen.php,Rasmussen,"10-8-0SV|3.44|1.15|7.93K9
",,2023
183,Tony Gonsolin,LAD,SP,183.0,165.0,Tony Gonsolin (LAD - SP),280,11-6-0SV|3.62|1.17|8.46K9,https://www.fantasypros.com/mlb/players/anthony-gonsolin.php,Gonsolin,"11-6-0SV|3.62|1.17|8.46K9
",,2023
184,Lars Nootbaar,STL,OF,184.0,184.0,Lars Nootbaar (STL - OF),265,.243|63R|18HR|56RBI|7SB,https://www.fantasypros.com/mlb/players/lars-nootbaar.php,Nootbaar,".243|63R|18HR|56RBI|7SB
",,2023
185,Grayson Rodriguez,BAL,SP,185.0,182.0,Grayson Rodriguez (BAL - SP),245,8-6-0SV|3.73|1.21|9.80K9,https://www.fantasypros.com/mlb/players/grayson-rodriguez.php,Rodriguez,"8-6-0SV|3.73|1.21|9.80K9
",,2023
186,Ryan McMahon,COL,3B,186.0,195.0,Ryan McMahon (COL - 3B),283,.252|71R|21HR|73RBI|7SB,https://www.fantasypros.com/mlb/players/ryan-mcmahon.php,McMahon,".252|71R|21HR|73RBI|7SB
",,2023
